manager_id,canonical_name,declared_nation,profile_image_url
1,Arthur Fairclough,England,/managers/Arthur Fairclough Icon.png
2,Dick Ray,England,/managers/Dick Ray Icon.png
3,The Board Committee,England,/managers/Leeds United Committee.png
4,Billy Hampson,England,/managers/Billy Hampson Icon.png
5,Willis Edwards,England,/managers/Willis Edwards Icon.png
6,Frank Buckley,England,/managers/Frank Buckley Icon.png
7,Raich Carter,England,/managers/Raich Carter Icon.png
8,Bill Lambton,England,/managers/Bill Lambton.png
9,Bob Roxburgh,England,/managers/Bob Roxburgh Icon.png
10,Jack Taylor,England,/managers/Jack Taylor Icon.png
11,Don Revie,England,/managers/Don Revie Icon.png
12,Brian Clough,England,/managers/Brian Clough Icon.png
13,Maurice Lindley,England,/managers/Maurice Lindley Icon.png
14,Jimmy Armfield,England,/managers/Jimmy Armfield Icon.png
15,Jock Stein,Scotland,/managers/Jock Stein Icon.png
16,Jimmy Adamson,England,/managers/Jimmy Adamson Icon.png
17,Allan Clarke,England,/managers/Allan Clarke Icon.png
18,Eddie Gray,Scotland,/managers/Eddie Gray Icon 1982.png
19,Peter Gunby,England,/managers/Peter Gunby Icon.png
20,Billy Bremner,Scotland,/managers/Billy Bremner Icon.png
21,Howard Wilkinson,England,/managers/Howard Wilkinson Icon.png
22,George Graham,Scotland,/managers/George Graham Icon.png
23,David O'Leary,Republic of Ireland,/managers/David O'Leary Icon.png
24,Terry Venables,England,/managers/Terry Venables Icon.png
25,Peter Reid,England,/managers/Peter Reid Icon.png
26,Kevin Blackwell,England,/managers/Kevin Blackwell Icon.png
27,John Carver,England,/managers/John Carver Icon.png
28,Dave Geddis,England,/managers/Dave Geddis Icon.png
29,Dennis Wise,England,/managers/Dennis Wise Icon.png
30,Gwyn Williams,Wales,/managers/Gwyn Williams Icon.png
31,Gary McAllister,Scotland,/managers/Gary McAllister Icon.png
32,Simon Grayson,England,/managers/Simon Grayson Icon.png
33,Neil Redfearn,England,/managers/Neil Redfearn Icon.png
34,Neil Warnock,England,/managers/Neil Warnock Icon.png
35,Brian McDermott,England,/managers/Brian McDermott Icon.png
36,Nigel Gibbs,England,/managers/Nigel Gibbs Icon.png
37,David Hockaday,England,/managers/David Hockaday Icon.png
38,Darko Milanic,Slovenia,/managers/Darko Milanic Icon.png
39,Uwe Rösler,Germany,/managers/Uwe Rosler Icon.png
40,Steve Evans,Scotland,/managers/Steve Evans Icon.png
41,Garry Monk,England,/managers/Garry Monk Icon.png
42,Thomas Christiansen,Spain / Denmark,/managers/Thomas Christiansen Icon.png
43,Paul Heckingbottom,England,/managers/Paul Heckingbottom Icon.png
44,Marcelo Bielsa,Argentina,/managers/Marcelo Bielsa Icon.png
45,Jesse Marsch,USA,/managers/Jesse Marsh Icon.png
46,Michael Skubala,England,/managers/Michael Skubala Icon.png
47,Javi Gracia,Spain,/managers/Javi Gracia Icon.png
48,Sam Allardyce,England,/managers/Sam Allardyce Icon.png
49,Daniel Farke,Germany,/managers/Daniel Farke Icon.png
