#,Date,New Column,Own Goal #,Own Goal Scorer,Opponent,Minute,Score,Result,Competition,Venue,Stadium
144,2025-09-13,2025/2026,1,Gabriel Gudmundsson,Fulham,90+4,1 - 0,🔴 Lost,Premier League,A,"Craven Cottage, London"
143,2025-05-03,2024/2025,1,Sam Byram,Plymouth Argyle,18,1 - 2,🟢 Won,Championship,A,"Home Park, Plymouth"
142,2025-02-24,2024/2025,2,Illan Meslier,Sheffield United,14,1 - 3,🟢 Won,Championship,A,"Bramall Lane, Sheffield"
141,2024-12-10,2024/2025,1,Max Wöber,Middlesbrough,54,3 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
140,2024-10-04,2024/2025,2,Junior Firpo,Sunderland,90+7,2 - 2,🟠 Draw,Championship,A,"Stadium of Light, Sunderland"
139,2023-10-25,2023/2024,1,Pascal Struijk,Stoke City,80,1 - 0,🔴 Lost,Championship,A,"Bet365 Stadium, Stoke"
138,2023-08-26,2023/2024,1,Joe Rodon,Ipswich Town,7,3 - 4,🟢 Won,Championship,A,"Portman Road, Ipswich"
137,2022-10-20,2022/2023,1,Robin Koch,Leicester City,16,2 - 0,🔴 Lost,Premier League,A,"King Power Stadium, Leicester"
136,2021-09-25,2021/2022,1,Junior Firpo,West Ham United,67,1 - 2,🔴 Lost,Premier League,H,"Elland Road, Leeds"
135,2021-02-19,2020/2021,1,Illan Meslier,Wolves,64,1 - 0,🔴 Lost,Premier League,A,"Molineux Stadium, Wolverhampton"
134,2020-11-07,2020/2021,1,Helder Costa,Crystal Palace,42,4 - 1,🔴 Lost,Premier League,A,"Selhurst Park, London"
133,2020-02-01,2019/2020,1,Pablo Hernandez,Wigan Athletic,59,0 - 1,🔴 Lost,Championship,H,"Elland Road, Leeds"
132,2018-04-21,2017/2018,1,Paudie O'Connor,Barnsley,36,2 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
131,2018-03-10,2017/2018,1,Eunan O'Kane,Reading,58,2 - 2,🟠 Draw,Championship,A,"Madejski Stadium, Berkshire"
130,2018-01-07,2017/2018,1,Conor Shaughnessy,Newport County,76,2 - 1,🔴 Lost,FA Cup,A,"Rodney Parade, Newport"
129,2016-10-01,2016/2017,1,Charlie Taylor,Barnsley,70,2 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
128,2016-02-29,2015/2016,2,Liam Cooper,Brighton & Hove Albion,22,4 - 0,🔴 Lost,Championship,A,"Falmer Stadium, Brighton"
127,2016-02-20,2015/2016,1,Scott Wootton,Watford,53,1 - 0,🔴 Lost,FA Cup,A,"Vicarage Road, Watford"
126,2015-09-27,2015/2016,1,Giuseppe Bellusci,Middlesbrough,32,3 - 0,🔴 Lost,Championship,A,"Riverside Stadium, Middlesbrough"
125,2014-12-30,2014/2015,1,Alex Mowatt,Derby County,41,2 - 0,🔴 Lost,Championship,A,"Pride Park, Derby"
124,2014-12-26,2014/2015,1,Liam Cooper,Wigan Athletic,11,0 - 2,🔴 Lost,Championship,H,"Elland Road, Leeds"
123,2014-03-15,2013/2014,1,Jason Pearce,Burnley,38,2 - 1,🔴 Lost,Championship,A,"Turf Moor, Burnley"
122,2013-10-26,2013/2014,2,Tom Lees,Huddersfield Town,63,3 - 2,🔴 Lost,Championship,A,"McAlpine Stadium, Huddersfield"
121,2013-02-09,2012/2013,1,Lee Peltier,Wolves,57,2 - 2,🟠 Draw,Championship,A,"Molineux Stadium, Wolverhampton"
120,2012-12-26,2012/2013,2,Rodolph Austin,Nottingham Forest,57,4 - 2,🔴 Lost,Championship,A,"City Ground, Nottingham"
119,2012-09-29,2012/2013,1,Rodolph Austin,Bristol City,90,2 - 3,🟢 Won,Championship,A,"Ashton Gate Stadium, Bristol"
118,2011-08-21,2011/2012,1,Patrick Kisnorbo,West Ham United,62,2 - 2,🟠 Draw,Championship,A,"Upton Park, London"
117,2011-08-16,2011/2012,1,Tom Lees,Hull City,21,4 - 1,🟢 Won,Championship,H,"Elland Road, Leeds"
116,2011-03-19,2010/2011,1,Eric Lichaj,Sheffield United,55,2 - 0,🔴 Lost,Championship,A,"Bramall Lane, Sheffield"
115,2010-12-28,2010/2011,2,Andy O’Brien,Portsmouth,90+3,3 - 3,🟠 Draw,Championship,H,"Elland Road, Leeds"
114,2010-12-28,2010/2011,1,Andy O’Brien,Portsmouth,63,3 - 3,🟠 Draw,Championship,H,"Elland Road, Leeds"
113,2010-11-09,2010/2011,1,Bradley Johnson,Hull City,82,2 - 2,🟠 Draw,Championship,H,"Elland Road, Leeds"
112,2010-09-14,2010/2011,1,Neill Collins,Barnsley,82,5 - 2,🔴 Lost,Championship,A,"Oakwell, Barnsley"
